Date,user_id,comments
"May 3, 2018 10:34AM",kyfdx,"If the price is right, it could work, but you can guarantee it will be more than doing it on your own. But, I think it's imperative that it's your only vehicle. Might work best for someone that doesn't already own a car or house (that already gets multi-line insurance discounts)."
"May 3, 2018 10:37AM",Mr_Shiftright,Plus you are locked into the automaker's insurance carrier.
"May 3, 2018 10:44AM",kyfdx,"Mr_Shiftright said: Plus you are locked into the automaker's insurance carrier. Yes.. I think Volvo uses Liberty Mutual. That's a decent company, so if you didn't have insurance, it might be okay. I wouldn't want to switch, though."
"May 3, 2018 10:57AM",stickguy,"I could see it for someone in a situation where they will only need a car for 6-12 months. temporary job, something like that. Where buying does not make sense, leasing is too long, and renting too expensive."
"May 3, 2018 11:04AM",Mr_Shiftright,"Well stick, that's what we call a ""niche"" all right!"
"May 3, 2018 11:06AM",Michaell,"kyfdx said: If the price is right, it could work, but you can guarantee it will be more than doing it on your own. But, I think it's imperative that it's your only vehicle. Might work best for someone that doesn't already own a car or house (that already gets multi-line insurance discounts). Which raises an interesting point - if you are on the subscription program, and get into multiple accidents that are deemed to be your fault, can the insurance company raise the premium and/or cancel your policy, therefore nulling out the subscription? Or, is the insurance company on the hook for a fixed insurance premium? Could be an advantage if you have great credit and income, but are a lousy driver."
"May 3, 2018 11:07AM",kyfdx,"Until you turn it in, and find you are ineligible for insurance."
"May 3, 2018 11:13AM",Mr_Shiftright,Insurance companies will always find a way to stick the knife in.
"May 3, 2018 11:16AM",kyfdx,Car insurance is like health insurance. Companies want new customers to be able to show that they've been continuously covered. Gaps are a no-no.
"May 10, 2018 9:38AM",turbo_v6,"Thanks for the post and the info, car subscription can be so pricey at lease to me."
"May 31, 2018 10:15PM",storm10,"To me, someone has changed word ""subscription"" from the word ""rent"". It's a classic rent a car. When you purchase or lease - you are the first and only owner of the car. So you don't have to worry about bacteria from the previous, possibly sick people, holding the steering wheel, or who knows what else happened in this car. I wouldn't want my baby sitting in the car-seat after someone just smoked in it. Plus the performance of the car will be on a par with any typical rental car, when 20 previous people drove it differently and the axles are about to collapse. Plus you have to be insane to pay $4k per month for Mercedes... when you can easily lease it for $400. Am I missing something??"
"June 1, 2018 3:43AM",qbrozen,I doubt used ones are included. And what example are you referring to when comparing $4k to $400? Pretty sure that doesn't exist.
"June 1, 2018 9:19AM",Mr_Shiftright,I think Mercedes subscription service is just getting under way--I haven't seen any numbers yet.
"June 1, 2018 12:23PM",leroy111,I rather just stay with a lease it isn't worth the bother to have to switch cars when they decide.
"June 1, 2018 1:10PM",qbrozen,"? Not sure what you mean ""when they decide."" You sign for a specific term, just like with a lease."
"June 11, 2018 3:17PM",clawsoncars,Subscription could work great depending on the market they are advertising to... Maybe companies might find the best use out of these subscriptions?
"June 19, 2018 3:48AM",idrachman,What is an range of discounts (%) that you've heard of for a Macan base model? One dealer was offering only just about 5%. Thx.
"June 24, 2018 7:20PM",qbrozen,"Just for kicks, I downloaded the Care by Volvo app. When I click on the Xc40 T5 Momentum, it comes back with $650/mo. Did they already raise the price before even getting this off the ground?"
"June 24, 2018 8:13PM",Michaell,Apparently. Somebody mentioned it in the XC40 lease thread.
"June 25, 2018 7:38AM",Mr_Shiftright,Almost $8K per year. I suppose there are lease payments that commonly equal that.
"June 25, 2018 7:46AM",Michaell,"Easily. But, those payments would be on a car with a substantially higher MSRP than the XC40."
"June 25, 2018 7:49AM",stickguy,"Well, probably could get that to lease at $500/month sign and drive. So $150 for convenience of being able to get out in a shorter time frame, ability to switch cars, and the insurance?"
"July 22, 2018 5:50AM",carolsutton_86,"So, here comes in the car subscription. I think I will consider checking and know all the facts first before I will try this. Thank you for posting such useful information."
"July 24, 2018 9:10AM",antoninb,"Definitely not interested, for the same reason that I steer clear of leases."
"July 24, 2018 10:13AM",Mr_Shiftright,"It seems though that these subscription plans, at least in theory, are attempting to loosen the restrictions one normally has with leases."
"October 19, 2018 8:47PM",GamesBx2,"Yes, I think 8k usd! I'm a programmer at GamesBx.com"
"December 12, 2018 12:06AM",bryanfox177,Actually depends on what kind of person you are. If you're the type of person that loses interest in their things in a short time then maybe leasing might be for you.
"December 26, 2018 8:42PM",jdm11,"Chicago area dealers, and/or probably their customers are on crack. Can someone please explain to me how ""general joe public BMW driver"" affords the car."
"February 18, 2019 4:47PM",jasonkimberson,i think the idea of car subscriptions is actually very interesting. I like the idea of being able to change cars monthly if I wanted.
"February 19, 2019 8:45AM",qbrozen,Pretty sure they won't let you change that often without fees.
"February 19, 2019 8:46AM",stickguy,It really ends up being the same as their car rental pool.
"February 19, 2019 8:53AM",qbrozen,But are they giving the next subscriber in line a used vehicle? I don't believe so.
"February 19, 2019 12:29PM",stickguy,Good point I thought of after. Maybe.
"April 20, 2019 10:15PM",PlasticBottle,Subscription isn't not a new idea. It was already implemented in the past in Israel.
"April 21, 2019 9:02AM",Mr_Shiftright,"Yes, subscription does seem more like buying a luxury handbag than getting best bang for the buck with leasing or purchase."
"May 13, 2019 12:09PM",ksoman,My lease payments are less than my insurance payments.
"May 21, 2019 2:24PM",MorePowahhh2Me,wish there was a subscription service where you get a vehicle for 1-3months at a time.
"September 4, 2019 9:21AM",TheMarkusAllen,Subscriptions are roughly double the total cost of traditional leasing.
"September 6, 2019 1:53AM",Howard_wep,I guess oems are just trying to broaden their portfolio and especially want to target the millennials with these subscription models.
"December 7, 2019 9:12AM",Glockenspiel,I never liked the idea of subscription and lease.
